,date,symbol,reportedCurrency,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,sellingGeneralAndAdministrativeExpenses,operatingIncome,interestIncome,interestExpense,incomeBeforeTax,netIncome,operatingIncomeRatio,fillingDate,totalCurrentAssets,totalNonCurrentAssets,totalAssets,totalCurrentLiabilities,totalNonCurrentLiabilities,totalLiabilities,totalEquity,totalLiabilitiesAndTotalEquity,netCashProvidedByOperatingActivities,netCashUsedForInvestingActivites,netCashUsedProvidedByFinancingActivities,cashAtBeginningOfPeriod,cashAtEndOfPeriod,company_name,ceo,phone,website,state,city,country,address,zip,sector,exchangeShortName,exchange,description
201,2020-08-31,CATG.PA,EUR,2020-08-31,2020-08-31,2020,FY,82628000,33391000,27221000,6828000,0,172000,6804000,5682000,0.082635426,2020-08-31,70334000,28370000,98704000,33991000,26618000,60609000,38095000,98704000,9293000,-8726000,22466000,11856000,34887000,SA Catana Group, Olivier Poncin,33468801313,https://www.catanagroup.com,OCCITANIE,Canet-en-Roussillon,FR,Zone Technique du port,66140,Consumer Cyclical,EURONEXT,Paris,"SA Catana Group designs, constructs, and markets pleasure boats in France and internationally. It offers catamarans under the CATANA and Bali brand names. The company was formerly known as Poncin Yachts SA. SA Catana Group was founded in 2001 and is based in Canet-en-Roussillon, France."
202,2021-12-31,IAM.PA,MAD,2021-12-31,2021-12-31,2021,FY,35790000000,5122000000,846000000,11574000000,27000000,826000000,10610000000,6008000000,0.323386421,2021-12-31,15222000000,46560000000,61782000000,38661000000,4320000000,42981000000,18801000000,61782000000,13554000000,-5303000000,-8869000000,2690000000,2024000000,Itissalat Al-Maghrib (IAM) S.A.,Mr. Rachid Mechahouri,212537719039,https://www.iam.ma,RABAT-SALE-ZEMMOUR-ZAER,Rabat,MA,Avenue Annakhil. Hay Riad.,,Communication Services,EURONEXT,Paris,"Itissalat Al-Maghrib (IAM) S.A., together with its subsidiaries, provides various telecommunication services in Morocco and internationally. It offers mobile, fixed-line, Internet, and fixed-line broadband telecommunication services, as well as sells mobile terminals, broadband equipment, and connected objects and accessories. The company was founded in 1998 and is based in Rabat, Morocco. As of October 28, 2021, Itissalat Al-Maghrib (IAM) S.A. operates as subsidiary of Emirates Telecommunications Group Company PJSC."
203,2020-12-31,IAM.PA,MAD,2020-12-31,2020-12-31,2020,FY,36769000000,5416000000,786000000,12269000000,17000000,888000000,9661000000,5423000000,0.333677826,2020-12-31,13365000000,48579000000,61944000000,41538000000,6624000000,48162000000,13782000000,61944000000,11088000000,-4219000000,-5600000000,1483000000,2690000000,Itissalat Al-Maghrib (IAM) S.A.,Mr. Rachid Mechahouri,212537719039,https://www.iam.ma,RABAT-SALE-ZEMMOUR-ZAER,Rabat,MA,Avenue Annakhil. Hay Riad.,,Communication Services,EURONEXT,Paris,"Itissalat Al-Maghrib (IAM) S.A., together with its subsidiaries, provides various telecommunication services in Morocco and internationally. It offers mobile, fixed-line, Internet, and fixed-line broadband telecommunication services, as well as sells mobile terminals, broadband equipment, and connected objects and accessories. The company was founded in 1998 and is based in Rabat, Morocco. As of October 28, 2021, Itissalat Al-Maghrib (IAM) S.A. operates as subsidiary of Emirates Telecommunications Group Company PJSC."
204,2020-12-31,ALDNE.PA,EUR,2020-12-31,2020-12-31,2020,FY,13506000,-10069000,0,-2699000,0,0,-2947000,949000,-0.199837109,2020-12-31,29486000,22618000,52104000,4070000,7814000,11884000,40220000,52104000,5277000,-9896000,8883000,16955000,21217000,Don't Nod Entertainment S.A.,Mr. Oskar Guilbert,33153673677,https://dontnod-bourse.com,ILE-DE-FRANCE,Paris,FR,"Metropole 19, 134-140 rue d'Aubervilliers",75019,Communication Services,EURONEXT,Paris,"Don't Nod Entertainment S.A. develops and publishes video games worldwide. It offers games in various genres, including adventure, action, and role play for consoles, PCs, smartphones, and tablets. The company was founded in 2008 and is headquartered in Paris, France."
205,2019-12-31,ALDNE.PA,EUR,2019-12-31,2019-12-31,2019,FY,13945000,-4072000,0,-3854000,0,0,-4440000,-86000,-0.276371459,2019-12-31,26142000,15673000,41815000,3700000,5096000,8796000,33019000,41815000,4239000,-11005000,-694000,24415000,16955000,Don't Nod Entertainment S.A.,Mr. Oskar Guilbert,33153673677,https://dontnod-bourse.com,ILE-DE-FRANCE,Paris,FR,"Metropole 19, 134-140 rue d'Aubervilliers",75019,Communication Services,EURONEXT,Paris,"Don't Nod Entertainment S.A. develops and publishes video games worldwide. It offers games in various genres, including adventure, action, and role play for consoles, PCs, smartphones, and tablets. The company was founded in 2008 and is headquartered in Paris, France."
206,2021-08-31,ALPDX.PA,EUR,2021-08-31,2021-08-31,2021,FY,161210000,72477000,17306000,35353000,63000,94000,35161000,25522000,0.21929781,2021-08-31,104311000,54905000,159215000,40942000,20332000,61274000,97941000,159215000,30941000,-8518000,5804000,35909000,64221000,Piscines Desjoyaux SA, Jean-Louis Desjoyaux,33477361212,https://www.desjoyaux.com,AUVERGNE-RHONE-ALPES,La Fouillouse,FR,"42 avenue Benoit Fourneyron, Bp 280, La Fouillouse Cedex",42486,Consumer Cyclical,EURONEXT,Paris,"Piscines Desjoyaux SA designs, manufactures, and markets swimming pools and its derivatives. It also constructs public pools, paving, and swimming pool edges, as well as pool-related equipment, such as solar covers, showers, safety barriers, cover rollers, etc. In addition, the company manages properties. Piscines Desjoyaux SA was founded in 1966 and is based in La Fouillouse, France. Piscines Desjoyaux SA is a subsidiary of Desjoyaux Finance SAS."
207,2020-08-31,ALPDX.PA,EUR,2020-08-31,2020-08-31,2020,FY,115514000,52172000,13741000,20704000,106000,150000,20315000,14014000,0.179233686,2020-08-31,69664000,51345000,121009000,31979000,12125000,44104000,76905000,121009000,21510000,-6702000,-3286000,24442000,35909000,Piscines Desjoyaux SA, Jean-Louis Desjoyaux,33477361212,https://www.desjoyaux.com,AUVERGNE-RHONE-ALPES,La Fouillouse,FR,"42 avenue Benoit Fourneyron, Bp 280, La Fouillouse Cedex",42486,Consumer Cyclical,EURONEXT,Paris,"Piscines Desjoyaux SA designs, manufactures, and markets swimming pools and its derivatives. It also constructs public pools, paving, and swimming pool edges, as well as pool-related equipment, such as solar covers, showers, safety barriers, cover rollers, etc. In addition, the company manages properties. Piscines Desjoyaux SA was founded in 1966 and is based in La Fouillouse, France. Piscines Desjoyaux SA is a subsidiary of Desjoyaux Finance SAS."
208,2021-03-31,ALTRI.PA,EUR,2021-03-31,2021-03-31,2021,FY,22602000,8379000,4751000,267000,0,14000,230000,-311000,0.011813114,2021-03-31,29412000,10555000,39967000,3704000,535000,4239000,35728000,39967000,2862000,-204000,-774000,18498000,19907000,Trilogiq S.A., Germain Dufosse,33134307474,https://www.trilogiq.com,ILE-DE-FRANCE,SAINT OUEN L AUMONE,FR,"5 rue St Simon, Parc d'Activites du Vert, BP40625,Crgy Pnts Cdx,Prc d'Actvts d VG, BP 40625, Cergy Pontoise Cedex",95046,Industrials,EURONEXT,Paris,"Trilogiq S.A. designs and manufactures modular systems for automotive, electronics, and aerospace sectors in France and internationally. It offers cantilevers, workstations, flowracks, trolleys, displays, personal work places, hotel equipment, dessert, trolleys, retail products, tables, shelves, handles, furnishing, shelves, cabinets, side tables, desks, components, connectors, tubes, rails, and accessories. Trilogiq S.A. was founded in 1992 and is based in Cergy Pontoise, France."
209,2020-03-31,ALTRI.PA,EUR,2020-03-31,2020-03-31,2020,FY,23542000,9088000,6069000,-3013000,0,26000,-3107000,-2881000,-0.127984029,2020-03-31,28549000,12203000,40752000,3024000,1298000,4322000,36430000,40752000,2935000,1140000,-1444000,16254000,18498000,Trilogiq S.A., Germain Dufosse,33134307474,https://www.trilogiq.com,ILE-DE-FRANCE,SAINT OUEN L AUMONE,FR,"5 rue St Simon, Parc d'Activites du Vert, BP40625,Crgy Pnts Cdx,Prc d'Actvts d VG, BP 40625, Cergy Pontoise Cedex",95046,Industrials,EURONEXT,Paris,"Trilogiq S.A. designs and manufactures modular systems for automotive, electronics, and aerospace sectors in France and internationally. It offers cantilevers, workstations, flowracks, trolleys, displays, personal work places, hotel equipment, dessert, trolleys, retail products, tables, shelves, handles, furnishing, shelves, cabinets, side tables, desks, components, connectors, tubes, rails, and accessories. Trilogiq S.A. was founded in 1992 and is based in Cergy Pontoise, France."
210,2020-12-31,ALWIT.PA,EUR,2020-12-31,2020-12-31,2020,FY,14378000,-633000,1969000,-1875000,0,56000,-2811000,-2821000,-0.130407567,2020-12-31,12908000,7612000,20520000,12432000,4574000,17006000,3514000,20520000,2202000,-2714000,3503000,-456000,2514000,Witbe S.A.,Mr. Mathieu Planche,33147677777,https://www.witbe.net,ILE-DE-FRANCE,Paris,FR,"Les Collines de l'Arche, Immeuble Opera E, Paris La Defense",92057,Communication Services,EURONEXT,Paris,"Witbe SA provides services to telecom operators, broadcasters, and application developers worldwide. It offers QoE Monitoring Robots, combination of hardware and software that able to reproduce end user behavior, and rent a movie on a VOD storefront; watch live TV and report on the quality of the video; make phone calls across the countries; send texts and emails to other Robots; and log in to Facebook and share an update or to Twitter and tweet. The company also provides Witbe Central System, a nervous system of the Witbe Galaxy, transforming raw data into exploitable information; and offers services for real-time alerting, live troubleshooting, and exploitable data. In addition, it offers communications QoE monitoring; set-top box test automation and validation; multiscreen and multi-devices video monitoring; business applications performance monitoring; TV, IPTV, and VOD services monitoring; IVR and call centers monitoring; VOD asset checking and monitoring; Web and smartphone applications monitoring; broadband, voice, and TV triple-play monitoring; and OTT video services monitoring solutions. The company was founded in 2000 and is based in Paris, France."
211,2019-12-31,ALWIT.PA,EUR,2019-12-31,2019-12-31,2019,FY,19062000,-79000,3971000,1023000,0,90000,657000,663000,0.053666981,2019-12-31,14539000,7064000,21603000,14795000,1110000,15905000,5698000,21603000,3581000,-2708000,-2177000,843000,-456000,Witbe S.A.,Mr. Mathieu Planche,33147677777,https://www.witbe.net,ILE-DE-FRANCE,Paris,FR,"Les Collines de l'Arche, Immeuble Opera E, Paris La Defense",92057,Communication Services,EURONEXT,Paris,"Witbe SA provides services to telecom operators, broadcasters, and application developers worldwide. It offers QoE Monitoring Robots, combination of hardware and software that able to reproduce end user behavior, and rent a movie on a VOD storefront; watch live TV and report on the quality of the video; make phone calls across the countries; send texts and emails to other Robots; and log in to Facebook and share an update or to Twitter and tweet. The company also provides Witbe Central System, a nervous system of the Witbe Galaxy, transforming raw data into exploitable information; and offers services for real-time alerting, live troubleshooting, and exploitable data. In addition, it offers communications QoE monitoring; set-top box test automation and validation; multiscreen and multi-devices video monitoring; business applications performance monitoring; TV, IPTV, and VOD services monitoring; IVR and call centers monitoring; VOD asset checking and monitoring; Web and smartphone applications monitoring; broadband, voice, and TV triple-play monitoring; and OTT video services monitoring solutions. The company was founded in 2000 and is based in Paris, France."
212,2020-12-31,ITXT.PA,EUR,2020-12-31,2020-12-31,2020,FY,280000,125000,39000,116000,35000,0,150000,99000,0.414285714,2020-12-31,2562000,946000,3508000,69000,40000,109000,3399000,3508000,157000,0,-4000,2355000,2509000,Intexa S.A.,,33 4 77 45 31 31,https://intexa.fr,,Saint-??tienne,FR,"1, Cours Antoine Guichard",42000,Consumer Cyclical,EURONEXT,Paris,"Intexa S.A. engages in the operation of the photovoltaic installation of Saint-Andr?-de-Cubzac in the department of Gironde, France. The company was founded in 2011 and is headquartered in Saint-Etienne, France. Intexa S.A. is a subsidiary of Casino Guichard-Perrachon."
213,2013-12-31,ITXT.PA,EUR,2013-12-31,2013-12-31,2013,FY,249000,127000,52000,-18000,8000,7000,-17000,13000,-0.072289157,2013-12-31,857000,1473000,2330000,245000,0,245000,2085000,2330000,17000,0,0,9000,26000,Intexa S.A.,,33 4 77 45 31 31,https://intexa.fr,,Saint-??tienne,FR,"1, Cours Antoine Guichard",42000,Consumer Cyclical,EURONEXT,Paris,"Intexa S.A. engages in the operation of the photovoltaic installation of Saint-Andr?-de-Cubzac in the department of Gironde, France. The company was founded in 2011 and is headquartered in Saint-Etienne, France. Intexa S.A. is a subsidiary of Casino Guichard-Perrachon."
214,2019-12-31,APR.PA,EUR,2019-12-31,2019-12-31,2019,FY,818821000,0,15676000,0,0,0,62413000,-829000,0,2019-12-31,1554240000,403434000,1957674000,0,144516000,1341020000,616654000,1957674000,104211000,0,0,136214000,263503000,,,,,,,,,,,,,
215,2018-12-31,APR.PA,EUR,2018-12-31,2018-12-31,2018,FY,793616000,0,14566000,0,0,0,73506000,28190000,0,2018-12-31,1450054000,360727000,1810781000,0,133119000,1193689000,617092000,1810781000,81849000,0,0,107842000,136214000,,,,,,,,,,,,,
216,2020-12-31,MLHK.PA,EUR,2020-12-31,2020-12-31,2020,FY,274984000,187438000,40715000,40369000,14000,15691000,20170000,13482000,0.146804905,2020-12-31,156731000,118141000,274872000,53980000,329163000,383143000,-108271000,274872000,41527000,-22455000,-8565000,23380000,33343000,H&K AG,Dr. Jens Koch,4907423790,https://www.heckler-koch.com,BADEN-WUERTTEMBERG,Oberndorf Am Neckar,DE,Heckler & Koch-Str. 1,78727,Industrials,EURONEXT,Paris,"H&K AG, together with its subsidiary, develops, manufactures, markets, and distributes infantry and sidearms for federal, state, or local governmental agencies in NATO countries and the European Union. It offers a range of small arms for military and law enforcement, and civil markets, such as pistols, submachine guns and pistols, assault rifles, precision rifles, machine guns, training systems, 40 MM systems, grenade launchers, and specialist equipment, as well as provides related accessories and services. The company was founded is 1949 and is based in Oberndorf am Neckar, Germany. H&K AG is a subsidiary of Compagnie de D?veloppement de l'Eau S.A."
217,2019-12-31,MLHK.PA,EUR,2019-12-31,2019-12-31,2019,FY,239417000,175829000,36825000,19934000,52000,15037000,5782000,1604000,0.083260587,2019-12-31,140821000,111562000,252383000,49489000,323762000,373251000,-120868000,252383000,14901000,-1607000,-12316000,22278000,23380000,H&K AG,Dr. Jens Koch,4907423790,https://www.heckler-koch.com,BADEN-WUERTTEMBERG,Oberndorf Am Neckar,DE,Heckler & Koch-Str. 1,78727,Industrials,EURONEXT,Paris,"H&K AG, together with its subsidiary, develops, manufactures, markets, and distributes infantry and sidearms for federal, state, or local governmental agencies in NATO countries and the European Union. It offers a range of small arms for military and law enforcement, and civil markets, such as pistols, submachine guns and pistols, assault rifles, precision rifles, machine guns, training systems, 40 MM systems, grenade launchers, and specialist equipment, as well as provides related accessories and services. The company was founded is 1949 and is based in Oberndorf am Neckar, Germany. H&K AG is a subsidiary of Compagnie de D?veloppement de l'Eau S.A."
218,2020-12-31,FNTS.PA,EUR,2020-12-31,2020-12-31,2020,FY,31928000000,24317000000,2400000000,1122000000,16000000,839000000,37000000,-186000000,0.035141569,2020-12-31,10101000000,22024000000,32125000000,12268000000,15901000000,28169000000,3956000000,32125000000,2198000000,-460000000,-2133000000,3659000000,2771000000,Finatis Soci?t? Anonyme,Mr. Didier Leveque,33144711400,https://www.finatis.fr,ILE-DE-FRANCE,Paris,FR,83 rue du Faubourg Saint-Honore,75008,Consumer Defensive,EURONEXT,Paris,"Finatis Soci?t? Anonyme engages in food distribution activities in France and Latin America. It operates monoprix, franprix, casino supermarkets, petit casinos, casino shops, spars, vivals, g?ant hypermarkets, etc. The company also distributes sports equipment under the Go Sport brand; and invests in real estate properties, as well as manages a portfolio of private equity investments. As of December 31, 2019, it operated a portfolio of 11,172 stores. The company is based in Paris, France. Finatis Soci?t? Anonyme is a subsidiary of Euris SAS."
219,2019-12-31,FNTS.PA,EUR,2019-12-31,2019-12-31,2019,FY,34663000000,26550000000,2664000000,1000000000,39000000,800000000,-376000000,-550000000,0.028849205,2019-12-31,12998000000,23614000000,36612000000,16667000000,13966000000,30633000000,5979000000,36612000000,1140000000,199000000,-2303000000,4605000000,3659000000,Finatis Soci?t? Anonyme,Mr. Didier Leveque,33144711400,https://www.finatis.fr,ILE-DE-FRANCE,Paris,FR,83 rue du Faubourg Saint-Honore,75008,Consumer Defensive,EURONEXT,Paris,"Finatis Soci?t? Anonyme engages in food distribution activities in France and Latin America. It operates monoprix, franprix, casino supermarkets, petit casinos, casino shops, spars, vivals, g?ant hypermarkets, etc. The company also distributes sports equipment under the Go Sport brand; and invests in real estate properties, as well as manages a portfolio of private equity investments. As of December 31, 2019, it operated a portfolio of 11,172 stores. The company is based in Paris, France. Finatis Soci?t? Anonyme is a subsidiary of Euris SAS."
220,2020-12-31,ALUVI.PA,EUR,2020-12-31,2020-12-31,2020,FY,6659632,3870219,0,108990,0,8210,198601,410291,0.016365769,2020-12-31,7032345,2485299,9517644,2381270,496796,2878066,6639578,9517644,96998,-208907,-107586,842449,622954,UV Germi SA,Mr. Andrs Bordas,33555881888,https://www.uvgermi.fr,NOUVELLE-AQUITAINE,Saint-Viance,FR,ZAC de la Nau,19240,Industrials,EURONEXT,Paris,"UV Germi SA designs, manufactures, and sells ultraviolet devices for the treatment of air, water, and surfaces in France, rest of Europe, the Middle East, and North Africa. The company offers its products in the areas of drinking water, wastewater, water in public swimming pools, and rainwater, as well as industrial water in food processing, pharmaceutical, and cosmetic industries. It also provides after sales services, such as technical support for the installation of the equipment, as well as maintenance. UV Germi SA was founded in 2009 and is based in Saint-Viance, France."
221,2019-12-31,ALUVI.PA,EUR,2019-12-31,2019-12-31,2019,FY,6170337,3907503,0,-81367,-5158,7006,-90097,95644,-0.0131868,2019-12-31,6581590,1796228,8377818,1503925,644606,2148531,6229287,8377818,-208963,-225973,858693,418693,842449,UV Germi SA,Mr. Andrs Bordas,33555881888,https://www.uvgermi.fr,NOUVELLE-AQUITAINE,Saint-Viance,FR,ZAC de la Nau,19240,Industrials,EURONEXT,Paris,"UV Germi SA designs, manufactures, and sells ultraviolet devices for the treatment of air, water, and surfaces in France, rest of Europe, the Middle East, and North Africa. The company offers its products in the areas of drinking water, wastewater, water in public swimming pools, and rainwater, as well as industrial water in food processing, pharmaceutical, and cosmetic industries. It also provides after sales services, such as technical support for the installation of the equipment, as well as maintenance. UV Germi SA was founded in 2009 and is based in Saint-Viance, France."
222,2018-12-31,MAGIS.PA,EUR,2018-12-31,2018-12-31,2018,FY,166947000,97026000,0,-12613000,0,3705000,-17239000,-18320000,-0.075550923,2018-12-31,106525000,50276000,156801000,107414000,36012000,143426000,13375000,156801000,20939000,0,0,14025000,7757000,,,,,,,,,,,,,
223,2017-12-31,MAGIS.PA,EUR,2017-12-31,2017-12-31,2017,FY,179629000,90221000,0,7490000,0,5038000,3383000,787000,0.041697053,2017-12-31,103285000,76538000,179823000,82547000,65776000,148323000,31500000,179823000,29808000,0,0,20617000,15732000,,,,,,,,,,,,,
224,2020-12-31,AKA.PA,EUR,2020-12-31,2020-12-31,2020,FY,1503454000,894710000,365412000,-152604000,1345000,20415000,-197878000,-168761000,-0.101502274,2020-12-31,745643000,1229518000,1975161000,585992000,896542000,1482534000,492627000,1975161000,169639000,-404090000,234300000,469231000,467970000,AKKA Technologies SE,Mr. Maurice Ricci,,https://www.akka-technologies.com,BRUXELLES-CAPITALE,Brussels,BE,Avenue Louise 143,1050,Technology,EURONEXT,Paris,"AKKA Technologies SE provides digital solutions, engineering consulting, and research and development services in the mobility sector in France, Germany, North America, and internationally. The company offers systems engineering, mechanical engineering, process engineering, support engineering, digitalization, embedded software and electronics, and information systems and consulting services. It serves industry players in the automotive, aerospace, rail, and life sciences sectors. The company was founded in 1984 and is based in Brussels, Belgium. As of February 24, 2022, AKKA Technologies SE operates as a subsidiary of Adecco Group AG."
225,2019-12-31,AKA.PA,EUR,2019-12-31,2019-12-31,2019,FY,1801486000,1222589000,388924000,120348000,528000,16692000,103716000,73041000,0.066804849,2019-12-31,818391000,786907000,1605298000,494026000,633035000,1127061000,478237000,1605298000,161044000,-56235000,89914000,271785000,469231000,AKKA Technologies SE,Mr. Maurice Ricci,,https://www.akka-technologies.com,BRUXELLES-CAPITALE,Brussels,BE,Avenue Louise 143,1050,Technology,EURONEXT,Paris,"AKKA Technologies SE provides digital solutions, engineering consulting, and research and development services in the mobility sector in France, Germany, North America, and internationally. The company offers systems engineering, mechanical engineering, process engineering, support engineering, digitalization, embedded software and electronics, and information systems and consulting services. It serves industry players in the automotive, aerospace, rail, and life sciences sectors. The company was founded in 1984 and is based in Brussels, Belgium. As of February 24, 2022, AKKA Technologies SE operates as a subsidiary of Adecco Group AG."
226,2020-12-31,ALDBT.PA,EUR,2020-12-31,2020-12-31,2020,FY,3960000,4764000,3372000,-6196000,0,101000,-6767000,-6765000,-1.564646465,2020-12-31,10610000,4657000,15267000,6501000,1799000,8300000,6967000,15267000,-5132000,-936000,8344000,83000,2359000,DBT SA,Mr. Herve Borgoltz,33321509292,https://www.dbt.fr,HAUTS-DE-FRANCE,BREBIERES,FR,"Parc Horizon 2000, Rue Maurice Grossemy",62117,Industrials,EURONEXT,Paris,"DBT SA offers charging solutions for electric vehicles, retractable access control and deterrence terminals, distribution terminals, and energy and current transformers in France. The company was founded in 1990 and is headquartered in Brebieres, France."
227,2020-06-30,ALDBT.PA,EUR,2020-06-30,2020-06-30,2020,FY,2654000,3510000,1593000,-7020000,0,63000,-7343000,-7263000,-2.645064054,2019-06-30,10761000,4713000,15474000,5768000,4172000,9940000,5534000,15474000,-4843000,84000,8800000,96000,4137000,DBT SA,Mr. Herve Borgoltz,33321509292,https://www.dbt.fr,HAUTS-DE-FRANCE,BREBIERES,FR,"Parc Horizon 2000, Rue Maurice Grossemy",62117,Industrials,EURONEXT,Paris,"DBT SA offers charging solutions for electric vehicles, retractable access control and deterrence terminals, distribution terminals, and energy and current transformers in France. The company was founded in 1990 and is headquartered in Brebieres, France."
228,2018-12-31,MLSEQ.PA,USD,2018-12-31,2018-12-31,2018,FY,0,8000,1184000,-3886000,0,19020000,-22921000,-48047000,0,2018-12-31,26103000,1000,26104000,229786000,28538000,258324000,-232220000,26104000,-5686000,0,0,31058000,25450000,Sequa Petroleum N.V.,Mr. Jacob Broekhuijsen,442037284450,https://www.sequa-petroleum.com,,LONDON,GB,"Fifth Fl, 23 Savile Row",W1S 2ET,Energy,EURONEXT,Paris,"Sequa Petroleum N.V., an oil and gas company, engages in the acquisition, exploration, appraisal, development, and production of onshore and offshore oil and gas assets worldwide. The company was incorporated in 2013 and is based in London, the United Kingdom."
229,2017-12-31,MLSEQ.PA,USD,2017-12-31,2017-12-31,2017,FY,0,31000,1421000,-4627000,0,21384000,-26432000,-22788000,0,2017-12-31,31849000,42000,31891000,211023000,28579000,239602000,-207711000,31891000,32999000,-1000,-1923000,407000,31058000,Sequa Petroleum N.V.,Mr. Jacob Broekhuijsen,442037284450,https://www.sequa-petroleum.com,,LONDON,GB,"Fifth Fl, 23 Savile Row",W1S 2ET,Energy,EURONEXT,Paris,"Sequa Petroleum N.V., an oil and gas company, engages in the acquisition, exploration, appraisal, development, and production of onshore and offshore oil and gas assets worldwide. The company was incorporated in 2013 and is based in London, the United Kingdom."
230,2020-12-31,ALGEN.PA,EUR,2020-12-31,2020-12-31,2020,FY,11015732,509481,0,-357214,337,86536,-417495,-687302,-0.032427623,2020-12-31,14515884,13052932,27568816,7940288,10631249,18571537,8997279,27568816,-901826,-241744,0,3776656,2633041,genOway Soci?t? anonyme,Dr. Alexandre Fraichard,33437654100,https://www.genoway.com,AUVERGNE-RHONE-ALPES,LYON,FR,"Technopark 2, 31 Rue Saint Jean-de-Dieu",69007,Healthcare,EURONEXT,Paris,"genOway Soci?t? anonyme, a biotechnology company, develops, manufactures, commercializes, and sells of custom genetically modified mouse, rat, and cell line models worldwide. It produces customized mouse models, such as knockout (KO) and knockin (KI) mouse models; customized rat models, including constitutive and conditional KO, point mutation KI, and quick KI rat models; and customized cell lines, such as constitutive KO, point mutation KI, reporter KI, quick KI, and KI cell lines. The company also offers humanized immune checkpoint mouse models; immunodeficient and reconstituted mouse and rat strains models; humanized immune target models; other mouse and rat catalog models; and immune checkpoint catalog cell lines. It serves pharmaceutical and life science companies, and academic institutes. The company was founded in 1999 and is headquartered in Lyon, France."
231,2019-12-31,ALGEN.PA,EUR,2019-12-31,2019-12-31,2019,FY,9457528,1189625,0,-864715,2088,246176,-818775,-1036426,-0.091431397,2019-12-31,9766437,9386399,19152836,6593875,5716576,12310451,6842385,19152836,851078,-176918,-507070,3609611,3776656,genOway Soci?t? anonyme,Dr. Alexandre Fraichard,33437654100,https://www.genoway.com,AUVERGNE-RHONE-ALPES,LYON,FR,"Technopark 2, 31 Rue Saint Jean-de-Dieu",69007,Healthcare,EURONEXT,Paris,"genOway Soci?t? anonyme, a biotechnology company, develops, manufactures, commercializes, and sells of custom genetically modified mouse, rat, and cell line models worldwide. It produces customized mouse models, such as knockout (KO) and knockin (KI) mouse models; customized rat models, including constitutive and conditional KO, point mutation KI, and quick KI rat models; and customized cell lines, such as constitutive KO, point mutation KI, reporter KI, quick KI, and KI cell lines. The company also offers humanized immune checkpoint mouse models; immunodeficient and reconstituted mouse and rat strains models; humanized immune target models; other mouse and rat catalog models; and immune checkpoint catalog cell lines. It serves pharmaceutical and life science companies, and academic institutes. The company was founded in 1999 and is headquartered in Lyon, France."
232,2021-03-31,ALCES.PA,EUR,2021-03-31,2021-03-31,2021,FY,2175000,1320000,803000,-140000,0,0,-147000,-77000,-0.064367816,2021-03-31,2179000,182000,2361000,5034000,0,5034000,-2673000,2361000,84176,0,0,293527,377703,Cesar SA, Franck Rizzin,33241502654,https://www.cesar-group.fr,PAYS DE LA LOIRE,Saumur,FR,"Z.I. du Clos Bonnet, 154 Blvd Jean Moulin",49400,Consumer Cyclical,EURONEXT,Paris,"Cesar SA designs and manufactures costumes and masks in France. The company was founded in 1842 and is based in Saumur, France."
233,2020-03-31,ALCES.PA,EUR,2020-03-31,2020-03-31,2020,FY,2284000,1133000,796000,489000,0,0,-283000,-294000,0.214098074,2020-03-31,2222000,124000,2346000,4936000,0,4936000,-2590000,2346000,-547763,0,0,841290,293527,Cesar SA, Franck Rizzin,33241502654,https://www.cesar-group.fr,PAYS DE LA LOIRE,Saumur,FR,"Z.I. du Clos Bonnet, 154 Blvd Jean Moulin",49400,Consumer Cyclical,EURONEXT,Paris,"Cesar SA designs and manufactures costumes and masks in France. The company was founded in 1842 and is based in Saumur, France."
234,2020-12-31,ALKKO.PA,EUR,2020-12-31,2020-12-31,2020,FY,401396,-178894,28590,-1852354,0,63315,-1924557,-2057786,-4.61477942,2020-12-31,1016746,12134146,13150892,3726970,2515704,6242674,6908218,13150892,-1281707,-1442328,2755602,56912,88477,KKO International SA,Mr. Remy Allemane,3228909576,https://www.kko-international.com,BRUXELLES-CAPITALE,Brussels,BE,Avenue Louise 363 Boite 19,75116,Consumer Defensive,EURONEXT,Paris,"KKO International SA, through its subsidiary, operates a cocoa plantation worldwide. The company engages in the cultivation of plantations, such as coffee, neem, teak, and moringa. It offers refined and regular mass, and dark and milk chocolate couverture, as well as chocolate spread made from pure cocoa mass. The company produces approximately 3,000 tons yearly. KKO International SA was founded in 2010 and is headquartered in Paris, France."
235,2019-12-31,ALKKO.PA,EUR,2019-12-31,2019-12-31,2019,FY,318096,120091,32341,-2049733,0,265230,-3082045,-3178637,-6.443755973,2019-12-31,959416,13009639,13969055,4356445,1362363,5718808,8250247,13969055,-2799706,-611300,3538477,-70560,56912,KKO International SA,Mr. Remy Allemane,3228909576,https://www.kko-international.com,BRUXELLES-CAPITALE,Brussels,BE,Avenue Louise 363 Boite 19,75116,Consumer Defensive,EURONEXT,Paris,"KKO International SA, through its subsidiary, operates a cocoa plantation worldwide. The company engages in the cultivation of plantations, such as coffee, neem, teak, and moringa. It offers refined and regular mass, and dark and milk chocolate couverture, as well as chocolate spread made from pure cocoa mass. The company produces approximately 3,000 tons yearly. KKO International SA was founded in 2010 and is headquartered in Paris, France."
